"name","lat","long","nbBikes","nbEmptyDocks"
"Lee Hwy & N Scott St","38.897612","-77.080851","6","8"
"New Hampshire Ave & 24th St NW","38.901755","-77.051084","17","2"
"Eisenhower Ave & Mill Race Ln","38.801111","-77.068952","9","5"
"Potomac Greens Dr & Slaters Ln","38.82175","-77.047494","4","6"
"Ballenger Ave & Dulaney St","38.802677","-77.063562","11","8"
"Mount Vernon Ave & E Nelson Ave","38.820064","-77.057619","6","5"
"Mount Vernon Ave & E Del Ray Ave","38.82595","-77.058541","12","3"
"Monroe Ave & Leslie Ave","38.820932","-77.053096","10","5"
"Mount Vernon Ave & Kennedy St","38.833077","-77.059821","7","8"
"Court House Metro / 15th & N Uhle St ","38.890612","-77.084801","10","11"
"Washington Adventist U / Flower Ave & Division St","38.986743","-77.000035","6","8"
"6th & S Ball St","38.864702","-77.048672","8","6"
"McKinley St & Connecticut Ave NW","38.96497","-77.075946","8","11"
"15th & L St NW","38.90381","-77.034931","14","7"
"17th & G St NW","38.89841","-77.039624","27","4"
"Spring St & Second Ave","38.997653","-77.034499","10","5"
"18th & R St NW","38.912648","-77.041834","1","18"
"S Joyce & 16th St S","38.859254","-77.063275","11","4"
"Union Market/6th St & Neal Pl NE","38.908008","-76.996985","10","13"
"N Nelson St & Lee Hwy","38.895929","-77.105246","7","6"
"21st St N & N Pierce St","38.898984","-77.078317","8","7"
"Lee Hwy & N Kirkwood Rd","38.895377","-77.09713","9","6"
